28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
28,28,28,28,28,28,28,11,28,28,28,28,28,28,28,28
28,28,28,11,11,11,11,11,11,11,28,28,11,28,28,28
28,28,11,11,11,11,10,10,10,11,11,11,11,11,11,11
28,28,11,11,11,10,10,10,10,10,11,11,10,10,10,11
28,28,11,11,10,10,10,10,10,10,10,10,10,10,10,10
28,28,28,11,10,10,10,10,10,10,10,10,10,10,10,10
28,28,28,11,10,10,10,10,10,10,10,11,10,10,11,10
28,28,28,11,11,10,10,10,10,10,11,11,11,11,11,11
28,28,28,28,11,11,11,10,10,11,11,11,11,11,28,28
28,28,28,28,28,11,11,11,11,11,11,11,28,28,28,28
